drug name,url,drug description
Choline,https://www.drugbank.ca/drugs/DB00122,"A basic constituent of lecithin that is found in many plants and animal organs. It is important as a precursor of acetylcholine, as a methyl donor in various metabolic processes, and in lipid metabolism."
Menthol,https://www.drugbank.ca/drugs/DB00825,"Menthol is a covalent organic compound made synthetically or obtained from peppermint or other mint oils. Forming clear or white waxy, crystalline substance, menthol is typically solid at room temperature. (-)-Menthol is the naturally-occurring and main form of menthol, and is assigned the (1R,2S,5R) configuration. Menthol mediates anesthetic properties and anti-irritating properties locally, thus it is widely used to relieve minor throat irritations."
Salicylic acid,https://www.drugbank.ca/drugs/DB00936,"A compound obtained from the bark of the white willow and wintergreen leaves, and also prepared synthetically. It has bacteriostatic, fungicidal, and keratolytic actions. Its salts, the salicylates, are used as analgesics."
Adenosine,https://www.drugbank.ca/drugs/DB00640,A nucleoside that is composed of adenine and d-ribose. Adenosine or adenosine derivatives play many important biological roles in addition to being components of DNA and RNA. Adenosine itself is a neurotransmitter.
Chlorpheniramine,https://www.drugbank.ca/drugs/DB01114,"A histamine H1 antagonist used in allergic reactions, hay fever, rhinitis, urticaria, and asthma. It has also been used in veterinary applications. One of the most widely used of the classical antihistaminics, it generally causes less drowsiness and sedation than promethazine."
Doxylamine,https://www.drugbank.ca/drugs/DB00366,"Histamine H1 antagonist with pronounced sedative properties. It is used in allergies and as an antitussive, antiemetic, and hypnotic. Doxylamine has also been administered in veterinary applications and was formerly used in parkinsonism."
Alitretinoin,https://www.drugbank.ca/drugs/DB00523,"An important regulator of gene expression during growth and development, and in neoplasms. Tretinoin, also known as retinoic acid and derived from maternal vitamin A, is essential for normal growth; and embryonic development. An excess of tretinoin can be teratogenic. It is used in the treatment of psoriasis; acne vulgaris; and several other skin diseases. It has also been approved for use in promyelocytic leukemia (leukemia, promyelocytic, acute)."
Acetaminophen,https://www.drugbank.ca/drugs/DB00316,"Acetaminophen (paracetamol), also commonly known as Tylenol, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).10 It is also used for its antipyretic effects, helping to reduce fever.23 This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.15,16,23,Label
Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.19 Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.19 Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.20,21,Label"
Betamethasone,https://www.drugbank.ca/drugs/DB00443,"Betamethasone is a long-acting corticosteroid with immunosuppressive and antiinflammatory properties.11 It can be used topically to manage inflammatory skin conditions such as eczema, and parenterally to manage several disease states including autoimmune disorders.11 Betamethasone has potent glucocorticoid activity and negligible mineralocorticoid activity.11"
Evening primrose oil,https://www.drugbank.ca/drugs/DB11358,"Evening primrose oil comes from the extraction from Oenothera biennis seeds and it is commonly used as an alternative source for omega-6 essential fatty acids. In its composition it presents some fatty acids such as Linolenic acid and Gamolenic acid.1 Evening primrose oil has been filled for the FDA by Humanetics Corporation on April 2000 to be a new dietary ingredient but its current status is ""Inadequate basis for expectation of safety"".5 By Health Canada, evening primrose oil is approved in over-the-counter combination dietary supplements.6 By the EMA, evening primrose oil is approved in herbal preparations.7"
